,Sepal.Length,Petal.Length,Sepal.Width,Petal.Width,Species
1,5.1,1.4,3.5,0.2,-1
2,4.9,1.4,3,0.2,-1
3,4.7,1.3,3.2,0.2,-1
4,4.6,1.5,3.1,0.2,-1
5,5,1.4,3.6,0.2,-1
6,5.4,1.7,3.9,0.4,-1
7,4.6,1.4,3.4,0.3,-1
8,5,1.5,3.4,0.2,-1
9,4.4,1.4,2.9,0.2,-1
10,4.9,1.5,3.1,0.1,-1
11,5.4,1.5,3.7,0.2,-1
12,4.8,1.6,3.4,0.2,-1
13,4.8,1.4,3,0.1,-1
14,4.3,1.1,3,0.1,-1
15,5.8,1.2,4,0.2,-1
16,5.7,1.5,4.4,0.4,-1
17,5.4,1.3,3.9,0.4,-1
18,5.1,1.4,3.5,0.3,-1
19,5.7,1.7,3.8,0.3,-1
20,5.1,1.5,3.8,0.3,-1
21,5.4,1.7,3.4,0.2,-1
22,5.1,1.5,3.7,0.4,-1
23,4.6,1,3.6,0.2,-1
24,5.1,1.7,3.3,0.5,-1
25,4.8,1.9,3.4,0.2,-1
26,5,1.6,3,0.2,-1
27,5,1.6,3.4,0.4,-1
28,5.2,1.5,3.5,0.2,-1
29,5.2,1.4,3.4,0.2,-1
30,4.7,1.6,3.2,0.2,-1
31,4.8,1.6,3.1,0.2,-1
32,5.4,1.5,3.4,0.4,-1
33,5.2,1.5,4.1,0.1,-1
34,5.5,1.4,4.2,0.2,-1
35,4.9,1.5,3.1,0.2,-1
36,5,1.2,3.2,0.2,-1
37,5.5,1.3,3.5,0.2,-1
38,4.9,1.4,3.6,0.1,-1
39,4.4,1.3,3,0.2,-1
40,5.1,1.5,3.4,0.2,-1
41,5,1.3,3.5,0.3,-1
42,4.5,1.3,2.3,0.3,-1
43,4.4,1.3,3.2,0.2,-1
44,5,1.6,3.5,0.6,-1
45,5.1,1.9,3.8,0.4,-1
46,4.8,1.4,3,0.3,-1
47,5.1,1.6,3.8,0.2,-1
48,4.6,1.4,3.2,0.2,-1
49,5.3,1.5,3.7,0.2,-1
50,5,1.4,3.3,0.2,-1
51,7,4.7,3.2,1.4,1
52,6.4,4.5,3.2,1.5,1
53,6.9,4.9,3.1,1.5,1
54,5.5,4,2.3,1.3,1
55,6.5,4.6,2.8,1.5,1
56,5.7,4.5,2.8,1.3,1
57,6.3,4.7,3.3,1.6,1
58,4.9,3.3,2.4,1,1
59,6.6,4.6,2.9,1.3,1
60,5.2,3.9,2.7,1.4,1
61,5,3.5,2,1,1
62,5.9,4.2,3,1.5,1
63,6,4,2.2,1,1
64,6.1,4.7,2.9,1.4,1
65,5.6,3.6,2.9,1.3,1
66,6.7,4.4,3.1,1.4,1
67,5.6,4.5,3,1.5,1
68,5.8,4.1,2.7,1,1
69,6.2,4.5,2.2,1.5,1
70,5.6,3.9,2.5,1.1,1
71,5.9,4.8,3.2,1.8,1
72,6.1,4,2.8,1.3,1
73,6.3,4.9,2.5,1.5,1
74,6.1,4.7,2.8,1.2,1
75,6.4,4.3,2.9,1.3,1
76,6.6,4.4,3,1.4,1
77,6.8,4.8,2.8,1.4,1
78,6.7,5,3,1.7,1
79,6,4.5,2.9,1.5,1
80,5.7,3.5,2.6,1,1
81,5.5,3.8,2.4,1.1,1
82,5.5,3.7,2.4,1,1
83,5.8,3.9,2.7,1.2,1
84,6,5.1,2.7,1.6,1
85,5.4,4.5,3,1.5,1
86,6,4.5,3.4,1.6,1
87,6.7,4.7,3.1,1.5,1
88,6.3,4.4,2.3,1.3,1
89,5.6,4.1,3,1.3,1
90,5.5,4,2.5,1.3,1
91,5.5,4.4,2.6,1.2,1
92,6.1,4.6,3,1.4,1
93,5.8,4,2.6,1.2,1
94,5,3.3,2.3,1,1
95,5.6,4.2,2.7,1.3,1
96,5.7,4.2,3,1.2,1
97,5.7,4.2,2.9,1.3,1
98,6.2,4.3,2.9,1.3,1
99,5.1,3,2.5,1.1,1
100,5.7,4.1,2.8,1.3,1
101,6.3,6,3.3,2.5,2
102,5.8,5.1,2.7,1.9,2
103,7.1,5.9,3,2.1,2
104,6.3,5.6,2.9,1.8,2
105,6.5,5.8,3,2.2,2
106,7.6,6.6,3,2.1,2
107,4.9,4.5,2.5,1.7,2
108,7.3,6.3,2.9,1.8,2
109,6.7,5.8,2.5,1.8,2
110,7.2,6.1,3.6,2.5,2
111,6.5,5.1,3.2,2,2
112,6.4,5.3,2.7,1.9,2
113,6.8,5.5,3,2.1,2
114,5.7,5,2.5,2,2
115,5.8,5.1,2.8,2.4,2
116,6.4,5.3,3.2,2.3,2
117,6.5,5.5,3,1.8,2
118,7.7,6.7,3.8,2.2,2
119,7.7,6.9,2.6,2.3,2
120,6,5,2.2,1.5,2
121,6.9,5.7,3.2,2.3,2
122,5.6,4.9,2.8,2,2
123,7.7,6.7,2.8,2,2
124,6.3,4.9,2.7,1.8,2
125,6.7,5.7,3.3,2.1,2
126,7.2,6,3.2,1.8,2
127,6.2,4.8,2.8,1.8,2
128,6.1,4.9,3,1.8,2
129,6.4,5.6,2.8,2.1,2
130,7.2,5.8,3,1.6,2
131,7.4,6.1,2.8,1.9,2
132,7.9,6.4,3.8,2,2
133,6.4,5.6,2.8,2.2,2
134,6.3,5.1,2.8,1.5,2
135,6.1,5.6,2.6,1.4,2
136,7.7,6.1,3,2.3,2
137,6.3,5.6,3.4,2.4,2
138,6.4,5.5,3.1,1.8,2
139,6,4.8,3,1.8,2
140,6.9,5.4,3.1,2.1,2
141,6.7,5.6,3.1,2.4,2
142,6.9,5.1,3.1,2.3,2
143,5.8,5.1,2.7,1.9,2
144,6.8,5.9,3.2,2.3,2
145,6.7,5.7,3.3,2.5,2
146,6.7,5.2,3,2.3,2
147,6.3,5,2.5,1.9,2
148,6.5,5.2,3,2,2
149,6.2,5.4,3.4,2.3,2
150,5.9,5.1,3,1.8,2
